"","V1"
"1",1
"2",1
"3",3
"4",2
"5",3
"6",3
"7",3
"8",3
"9",2
"10",3
"11",3
"12",3
"13",3
"14",3
"15",3
"16",4
"17",3
"18",5
"19",3
"20",3
"21",3
"22",3
"23",3
"24",3
"25",3
"26",3
"27",1
"28",3
"29",5
"30",3
"31",1
"32",2
"33",3
"34",3
"35",3
"36",3
"37",3
"38",3
"39",3
"40",3
"41",3
"42",1
"43",1
"44",3
"45",1
"46",2
"47",2
"48",3
"49",1
"50",1
"51",5
"52",1
"53",1
"54",3
"55",5
"56",3
"57",3
"58",5
"59",5
"60",5
"61",1
"62",2
"63",5
"64",4
"65",5
"66",5
"67",4
"68",3
"69",4
"70",3
"71",3
"72",3
"73",4
"74",3
"75",3
"76",3
"77",1
"78",1
"79",3
"80",3
"81",5
"82",2
"83",4
"84",3
"85",1
"86",1
"87",3
"88",3
"89",4
"90",1
"91",3
"92",5
"93",3
"94",4
"95",3
"96",3
"97",3
"98",3
"99",3
"100",3
"101",3
"102",3
"103",3
"104",3
"105",3
"106",3
"107",3
"108",3
"109",3
"110",3
"111",3
"112",3
"113",3
"114",3
"115",3
"116",5
"117",3
"118",3
"119",3
"120",3
"121",3
"122",3
"123",3
"124",3
"125",3
"126",3
"127",3
"128",1
"129",1
"130",3
"131",3
"132",3
"133",3
"134",5
"135",3
"136",1
"137",5
"138",3
"139",5
"140",2
"141",1
"142",3
"143",5
"144",3
"145",2
"146",3
"147",5
"148",5
"149",5
"150",3
"151",3
"152",3
"153",5
"154",3
"155",5
"156",3
"157",3
"158",3
"159",3
"160",3
"161",1
"162",3
"163",3
"164",3
"165",3
"166",3
"167",1
"168",1
"169",3
"170",1
"171",3
"172",3
"173",3
"174",3
"175",3
"176",3
"177",3
"178",5
"179",3
"180",3
"181",1
"182",3
"183",3
"184",3
"185",5
"186",3
"187",5
"188",3
"189",3
"190",3
"191",3
"192",3
"193",3
"194",3
"195",3
"196",3
"197",3
"198",3
"199",3
"200",3
"201",3
"202",3
"203",3
"204",1
"205",3
"206",3
"207",3
"208",3
"209",3
"210",3
"211",3
"212",3
"213",3
"214",3
"215",3
"216",3
"217",3
"218",3
"219",3
"220",3
"221",3
"222",3
"223",3
"224",3
"225",3
"226",3
"227",3
"228",3
"229",3
"230",3
"231",3
"232",2
"233",3
"234",3
"235",3
"236",3
"237",3
"238",3
"239",3
"240",3
"241",3
"242",3
"243",3
"244",3
"245",3
"246",1
"247",3
"248",1
"249",3
"250",3
"251",3
"252",3
"253",3
"254",3
"255",3
"256",3
"257",3
"258",3
"259",3
"260",3
"261",3
"262",3
"263",5
"264",3
"265",3
"266",3
"267",3
"268",3
"269",3
"270",3
"271",3
"272",3
"273",3
"274",3
"275",4
"276",3
"277",1
"278",3
"279",3
"280",3
"281",3
"282",3
"283",3
"284",3
"285",3
"286",3
"287",3
"288",3
"289",3
"290",3
"291",5
"292",3
"293",2
"294",3
"295",3
"296",3
"297",2
"298",3
"299",5
"300",3
"301",1
"302",3
"303",3
"304",3
"305",3
"306",3
"307",3
"308",3
"309",4
"310",3
"311",3
"312",3
"313",3
"314",3
"315",3
"316",3
"317",3
"318",3
"319",3
"320",3
"321",3
"322",3
"323",3
"324",1
"325",3
"326",3
"327",3
"328",3
"329",3
"330",1
"331",3
"332",3
"333",3
"334",4
"335",4
"336",5
"337",3
"338",3
"339",3
"340",5
"341",3
"342",5
"343",3
"344",3
"345",3
"346",3
"347",3
"348",3
"349",3
"350",3
"351",3
"352",3
"353",3
"354",3
"355",3
"356",2
"357",3
"358",3
"359",3
"360",3
"361",3
"362",3
"363",3
"364",3
"365",3
"366",1
"367",3
"368",3
"369",3
"370",3
"371",3
"372",3
"373",3
"374",3
"375",2
"376",3
"377",3
"378",3
"379",3
"380",3
"381",3
"382",3
"383",3
"384",3
"385",3
"386",3
"387",3
"388",3
"389",3
"390",3
"391",3
"392",3
"393",3
"394",3
"395",3
"396",3
"397",3
"398",3
"399",3
"400",3
"401",3
"402",3
"403",3
"404",3
"405",3
"406",1
"407",3
"408",3
"409",3
"410",3
"411",3
"412",3
"413",1
"414",3
"415",3
"416",3
"417",3
"418",3
"419",3
"420",2
"421",1
"422",2
"423",3
"424",3
"425",3
"426",3
"427",3
"428",3
"429",3
"430",3
"431",3
"432",1
"433",3
"434",1
"435",5
"436",5
"437",3
"438",2
"439",2
"440",1
"441",5
"442",5
"443",3
"444",3
"445",3
"446",4
"447",4
"448",3
"449",3
"450",3
"451",3
"452",3
"453",3
"454",3
"455",3
"456",3
"457",3
"458",3
"459",3
"460",3
"461",3
"462",3
"463",3
"464",3
"465",3
"466",3
"467",3
"468",3
"469",5
"470",3
"471",4
"472",3
"473",3
"474",3
"475",3
"476",3
"477",3
"478",3
"479",3
"480",3
"481",3
